fbid,mother_tongue,locality,occupation,age,pages_liked_1,pages_liked_2,pages_liked_3,gender,marital_status,education_school,education_college
100026,Spanish,cx_PH,General Physician,27,Narendra Modi,Silicon Valley,J.K Rowling,M,single,Indraprastha School,Delhi technological University
100027,German,gn_PY,General Physician,20,Terrible Tiny Tales,Mitacs Globalink,MS Dhoni,F,Married,Indraprastha School,Amity
100028,Spanish,gn_PY,Neurologist,36,Disha Patani,Terrible Tiny Tales,Narendra Modi,F,Married,Oxford School,Amity
100029,Chinese,en_US,General Physician,39,MS Dhoni,Silicon Valley,A.P.J Abdul Kalam,M,single,Neo Convent,Maharaja Surajmal
100030,German,eu_ES,Dentist,34,Terrible Tiny Tales,Vidyamandir Classes,Silicon Valley,M,Married,Oxford School,CMU
100031,Hindi,cy_GB,Computer Engineer,22,Shopmania,J.K Rowling,Silicon Valley,F,single,Neo Convent,Amity
100032,Chinese,gn_PY,Neurologist,26,Shopmania,A.P.J Abdul Kalam,J.K Rowling,M,single,Indraprastha School,CMU
100033,English,de_DE,Computer Engineer,40,Silicon Valley,Disha Patani,Shopmania,M,Married,Oxford School,Maharaja Surajmal
100034,Chinese,da_DK,Computer Engineer,28,Silicon Valley,A.P.J Abdul Kalam,Terrible Tiny Tales,M,single,Mount Carmel,MIT
100035,Spanish,cy_GB,Mechanical Engineer,32,A.P.J Abdul Kalam,Shopmania,Mitacs Globalink,M,Married,DPS,Amity
100036,English,es_LA,Mechanical Engineer,30,Narendra Modi,Vidyamandir Classes,Mitacs Globalink,M,Married,Oxford School,Maharaja Surajmal
100037,Spanish,gn_PY,Civil Engineer,36,A.P.J Abdul Kalam,Vidyamandir Classes,Mitacs Globalink,M,single,Neo Convent,Amity
100038,Hindi,de_DE,Dentist,36,Shopmania,Silicon Valley,Vidyamandir Classes,F,Married,Indraprastha School,Maharaja Surajmal
100039,Spanish,gn_PY,Mechanical Engineer,31,Vidyamandir Classes,Narendra Modi,Silicon Valley,M,single,Neo Convent,CMU
100040,German,en_US,Neurologist,31,Disha Patani,Terrible Tiny Tales,Mitacs Globalink,M,single,Oxford School,CMU
100041,Chinese,gn_PY,Business Man,28,Silicon Valley,Shopmania,Narendra Modi,F,Married,Indraprastha School,CMU
100042,German,ca_ES,Teacher,24,Terrible Tiny Tales,Mitacs Globalink,MS Dhoni,M,single,Mount Carmel,CMU
100043,German,en_US,General Physician,23,A.P.J Abdul Kalam,Silicon Valley,J.K Rowling,M,single,Indraprastha School,Delhi technological University
100044,Chinese,cs_CZ,Civil Engineer,28,Disha Patani,MS Dhoni,A.P.J Abdul Kalam,M,single,Oxford School,Amity
100045,English,eu_ES,Business Man,38,A.P.J Abdul Kalam,Silicon Valley,Terrible Tiny Tales,F,Married,Oxford School,Amity
100046,Portugese,cs_CZ,Teacher,21,MS Dhoni,Terrible Tiny Tales,Shopmania,F,single,Mount Carmel,Amity
100047,Spanish,cs_CZ,Computer Engineer,25,Mitacs Globalink,J.K Rowling,Shopmania,F,single,Mount Carmel,Maharaja Surajmal
100048,English,cy_GB,Dentist,35,MS Dhoni,Vidyamandir Classes,Narendra Modi,F,single,Oxford School,CMU
100049,Spanish,es_LA,Dentist,35,J.K Rowling,Mitacs Globalink,Narendra Modi,F,single,Indraprastha School,Delhi technological University
100050,German,cs_CZ,Business Man,27,J.K Rowling,Narendra Modi,Vidyamandir Classes,M,single,Indraprastha School,Maharaja Surajmal
100051,Chinese,de_DE,Civil Engineer,35,J.K Rowling,A.P.J Abdul Kalam,Silicon Valley,F,single,Oxford School,CMU
100052,Spanish,en_UD,Neurologist,33,Silicon Valley,MS Dhoni,Shopmania,F,single,Oxford School,MIT
100053,Chinese,ca_ES,Civil Engineer,29,J.K Rowling,Disha Patani,Mitacs Globalink,F,Married,Neo Convent,Maharaja Surajmal
100054,German,es_ES,Mechanical Engineer,29,J.K Rowling,A.P.J Abdul Kalam,Terrible Tiny Tales,M,single,Indraprastha School,MIT
100055,Hindi,cx_PH,Business Man,20,Mitacs Globalink,Silicon Valley,J.K Rowling,M,Married,Neo Convent,MIT
100056,German,es_LA,Civil Engineer,40,MS Dhoni,Terrible Tiny Tales,Mitacs Globalink,F,Married,Indraprastha School,Delhi technological University
100057,German,eu_ES,Mechanical Engineer,32,J.K Rowling,Silicon Valley,A.P.J Abdul Kalam,M,Married,Mount Carmel,Delhi technological University
100058,Chinese,cs_CZ,Neurologist,32,Terrible Tiny Tales,MS Dhoni,J.K Rowling,F,Married,Oxford School,Delhi technological University
100059,Portugese,de_DE,Teacher,23,Mitacs Globalink,Shopmania,Disha Patani,M,single,DPS,CMU
100060,Chinese,cx_PH,Computer Engineer,32,Mitacs Globalink,Vidyamandir Classes,Shopmania,M,Married,Mount Carmel,Delhi technological University
100061,Hindi,de_DE,Civil Engineer,23,MS Dhoni,Mitacs Globalink,Disha Patani,M,single,DPS,Amity
100062,Chinese,en_UD,General Physician,35,Terrible Tiny Tales,Vidyamandir Classes,A.P.J Abdul Kalam,F,Married,Mount Carmel,Maharaja Surajmal
100063,German,gn_PY,Mechanical Engineer,25,Narendra Modi,Disha Patani,Vidyamandir Classes,M,Married,Mount Carmel,Maharaja Surajmal
100064,Chinese,ca_ES,General Physician,38,A.P.J Abdul Kalam,Mitacs Globalink,Narendra Modi,F,single,Oxford School,CMU
100065,Portugese,ca_ES,Business Man,21,Terrible Tiny Tales,Shopmania,MS Dhoni,F,Married,Neo Convent,Delhi technological University
100066,Spanish,gn_PY,Business Man,40,MS Dhoni,Terrible Tiny Tales,J.K Rowling,F,Married,Indraprastha School,Amity
100067,Chinese,de_DE,Teacher,35,Mitacs Globalink,J.K Rowling,Disha Patani,F,single,Oxford School,MIT
100068,Portugese,de_DE,Civil Engineer,39,Terrible Tiny Tales,Mitacs Globalink,Shopmania,F,Married,Neo Convent,MIT
100069,Spanish,da_DK,General Physician,32,MS Dhoni,J.K Rowling,Mitacs Globalink,M,single,Oxford School,Maharaja Surajmal
100070,Hindi,cy_GB,General Physician,24,Silicon Valley,Vidyamandir Classes,A.P.J Abdul Kalam,F,Married,Indraprastha School,Maharaja Surajmal
100071,Hindi,da_DK,Neurologist,32,Terrible Tiny Tales,Vidyamandir Classes,A.P.J Abdul Kalam,F,Married,Oxford School,Delhi technological University
100072,Portugese,en_US,Neurologist,31,Vidyamandir Classes,Disha Patani,Silicon Valley,M,Married,DPS,Delhi technological University
100073,Hindi,en_US,Mechanical Engineer,24,Mitacs Globalink,Silicon Valley,MS Dhoni,F,single,Indraprastha School,CMU
100074,German,es_LA,Neurologist,28,Disha Patani,Terrible Tiny Tales,Vidyamandir Classes,F,Married,Oxford School,MIT
100075,Portugese,es_LA,Computer Engineer,26,Disha Patani,Vidyamandir Classes,A.P.J Abdul Kalam,F,single,Oxford School,Amity
100076,German,ca_ES,General Physician,21,Mitacs Globalink,J.K Rowling,MS Dhoni,F,single,Neo Convent,CMU
100077,German,cx_PH,Civil Engineer,28,Mitacs Globalink,Disha Patani,J.K Rowling,F,single,Neo Convent,CMU
100078,Chinese,da_DK,Business Man,34,A.P.J Abdul Kalam,Mitacs Globalink,Vidyamandir Classes,M,Married,DPS,MIT
100079,Spanish,en_UD,Civil Engineer,37,Vidyamandir Classes,MS Dhoni,Terrible Tiny Tales,M,single,Neo Convent,Delhi technological University
100080,Portugese,cy_GB,Computer Engineer,20,MS Dhoni,Silicon Valley,Vidyamandir Classes,F,Married,Mount Carmel,Amity
100081,Portugese,en_UD,Computer Engineer,34,Narendra Modi,J.K Rowling,Disha Patani,M,single,Mount Carmel,CMU
100082,Spanish,cs_CZ,Civil Engineer,20,J.K Rowling,Disha Patani,A.P.J Abdul Kalam,F,single,Indraprastha School,Maharaja Surajmal
100083,Spanish,es_ES,Computer Engineer,28,Shopmania,J.K Rowling,Vidyamandir Classes,M,Married,Mount Carmel,Delhi technological University
100084,Portugese,es_LA,Business Man,26,Mitacs Globalink,Disha Patani,Vidyamandir Classes,F,single,Neo Convent,MIT
100085,Spanish,cs_CZ,Civil Engineer,37,Vidyamandir Classes,A.P.J Abdul Kalam,Terrible Tiny Tales,F,Married,DPS,CMU
100086,Portugese,da_DK,Computer Engineer,30,Shopmania,Vidyamandir Classes,Disha Patani,M,Married,Oxford School,MIT
100087,Portugese,de_DE,General Physician,25,Disha Patani,MS Dhoni,Mitacs Globalink,F,single,DPS,CMU
100088,English,en_US,Civil Engineer,28,Mitacs Globalink,Terrible Tiny Tales,Shopmania,F,Married,Indraprastha School,Maharaja Surajmal
100089,Portugese,da_DK,Dentist,29,Shopmania,J.K Rowling,MS Dhoni,M,Married,Oxford School,Maharaja Surajmal
100090,Chinese,da_DK,Mechanical Engineer,30,Terrible Tiny Tales,Mitacs Globalink,A.P.J Abdul Kalam,M,single,DPS,Delhi technological University
100091,German,es_LA,Business Man,31,J.K Rowling,A.P.J Abdul Kalam,Terrible Tiny Tales,M,single,Mount Carmel,MIT
100092,Hindi,en_US,Mechanical Engineer,32,Mitacs Globalink,Disha Patani,A.P.J Abdul Kalam,M,Married,Indraprastha School,Amity
100093,Chinese,eu_ES,Teacher,40,Disha Patani,Vidyamandir Classes,A.P.J Abdul Kalam,M,single,Indraprastha School,Maharaja Surajmal
100094,English,en_US,Teacher,37,Disha Patani,MS Dhoni,Vidyamandir Classes,M,single,Oxford School,Delhi technological University
100095,English,es_LA,Dentist,39,Silicon Valley,A.P.J Abdul Kalam,Narendra Modi,M,Married,Indraprastha School,Maharaja Surajmal
100096,Portugese,es_LA,Business Man,21,Shopmania,Mitacs Globalink,Disha Patani,F,single,Oxford School,CMU
100097,Spanish,cs_CZ,General Physician,40,Vidyamandir Classes,Silicon Valley,Mitacs Globalink,M,Married,Indraprastha School,Amity
100098,English,en_US,Dentist,31,Mitacs Globalink,J.K Rowling,Shopmania,M,Married,Neo Convent,Amity
100099,English,cy_GB,Neurologist,20,Mitacs Globalink,Disha Patani,J.K Rowling,F,Married,Mount Carmel,Maharaja Surajmal
100100,Hindi,cs_CZ,General Physician,21,Terrible Tiny Tales,A.P.J Abdul Kalam,Narendra Modi,F,single,Mount Carmel,CMU
100101,Spanish,es_ES,General Physician,32,MS Dhoni,Disha Patani,Silicon Valley,M,Married,Mount Carmel,MIT
100102,Hindi,es_ES,Neurologist,27,Shopmania,Vidyamandir Classes,Narendra Modi,M,Married,Oxford School,MIT
100103,Hindi,gn_PY,Dentist,22,Shopmania,A.P.J Abdul Kalam,Silicon Valley,M,single,DPS,Delhi technological University
100104,German,en_UD,Computer Engineer,24,Shopmania,Vidyamandir Classes,Narendra Modi,M,single,DPS,Delhi technological University
100105,English,es_LA,General Physician,20,Shopmania,J.K Rowling,Silicon Valley,F,single,DPS,Maharaja Surajmal
100106,Chinese,ca_ES,Teacher,35,A.P.J Abdul Kalam,Disha Patani,Vidyamandir Classes,F,single,Indraprastha School,Delhi technological University
100107,Portugese,es_LA,General Physician,23,A.P.J Abdul Kalam,Silicon Valley,Shopmania,M,single,DPS,Delhi technological University
100108,German,de_DE,Neurologist,35,J.K Rowling,Terrible Tiny Tales,Silicon Valley,F,Married,Oxford School,MIT
100109,English,eu_ES,Dentist,37,Silicon Valley,Mitacs Globalink,A.P.J Abdul Kalam,M,Married,Neo Convent,Maharaja Surajmal
100110,Chinese,ca_ES,General Physician,31,Terrible Tiny Tales,Disha Patani,J.K Rowling,M,single,Indraprastha School,MIT
100111,German,en_US,Dentist,24,Narendra Modi,Vidyamandir Classes,A.P.J Abdul Kalam,F,Married,Neo Convent,MIT
100112,Spanish,en_US,Dentist,20,MS Dhoni,J.K Rowling,Narendra Modi,F,single,Mount Carmel,MIT
100113,Chinese,es_ES,Civil Engineer,39,Vidyamandir Classes,Terrible Tiny Tales,Narendra Modi,M,single,Indraprastha School,CMU
100114,Hindi,es_LA,Civil Engineer,27,A.P.J Abdul Kalam,Disha Patani,Mitacs Globalink,F,Married,Indraprastha School,Maharaja Surajmal
100115,Hindi,eu_ES,Computer Engineer,21,Narendra Modi,Disha Patani,MS Dhoni,M,Married,Neo Convent,Maharaja Surajmal
100116,Chinese,de_DE,Civil Engineer,26,Terrible Tiny Tales,Silicon Valley,A.P.J Abdul Kalam,F,single,DPS,Delhi technological University
100117,English,ca_ES,Computer Engineer,20,Terrible Tiny Tales,J.K Rowling,Silicon Valley,M,single,Neo Convent,CMU
100118,English,es_LA,Computer Engineer,24,Narendra Modi,MS Dhoni,Silicon Valley,F,Married,Oxford School,Amity
100119,Portugese,es_LA,Civil Engineer,22,Terrible Tiny Tales,MS Dhoni,A.P.J Abdul Kalam,M,Married,Oxford School,Delhi technological University
100120,Hindi,eu_ES,General Physician,31,Vidyamandir Classes,J.K Rowling,Silicon Valley,F,single,Indraprastha School,MIT
100121,German,es_LA,Mechanical Engineer,38,A.P.J Abdul Kalam,Terrible Tiny Tales,Vidyamandir Classes,F,single,DPS,MIT
100122,English,da_DK,Business Man,25,Terrible Tiny Tales,Mitacs Globalink,J.K Rowling,M,Married,Indraprastha School,CMU
100123,Hindi,cx_PH,Civil Engineer,33,Disha Patani,Silicon Valley,Shopmania,M,single,Mount Carmel,Amity
100124,Chinese,eu_ES,Mechanical Engineer,30,Terrible Tiny Tales,A.P.J Abdul Kalam,Shopmania,M,Married,DPS,Delhi technological University
100125,Portugese,es_LA,Business Man,39,A.P.J Abdul Kalam,Shopmania,Disha Patani,M,single,Neo Convent,MIT
100126,Spanish,ca_ES,Neurologist,26,Shopmania,Terrible Tiny Tales,MS Dhoni,M,single,Oxford School,Maharaja Surajmal
100127,Hindi,eu_ES,Dentist,28,J.K Rowling,Mitacs Globalink,Narendra Modi,F,single,Neo Convent,Maharaja Surajmal
100128,Hindi,en_US,Teacher,37,Silicon Valley,Terrible Tiny Tales,A.P.J Abdul Kalam,F,Married,Neo Convent,MIT
100129,Spanish,es_LA,Civil Engineer,33,MS Dhoni,A.P.J Abdul Kalam,Disha Patani,F,single,DPS,CMU
100130,Hindi,da_DK,Dentist,25,Narendra Modi,MS Dhoni,Terrible Tiny Tales,M,Married,Mount Carmel,CMU
100131,German,es_ES,Dentist,33,Silicon Valley,Terrible Tiny Tales,A.P.J Abdul Kalam,M,Married,DPS,Maharaja Surajmal
100132,English,gn_PY,Neurologist,34,A.P.J Abdul Kalam,Terrible Tiny Tales,Disha Patani,F,Married,Neo Convent,Maharaja Surajmal
100133,English,gn_PY,General Physician,23,J.K Rowling,MS Dhoni,Terrible Tiny Tales,M,Married,Indraprastha School,Maharaja Surajmal
100134,Spanish,cy_GB,Dentist,26,Terrible Tiny Tales,Mitacs Globalink,J.K Rowling,F,Married,Mount Carmel,Amity
100135,Spanish,es_LA,General Physician,25,J.K Rowling,Mitacs Globalink,Disha Patani,M,single,DPS,Delhi technological University
100136,Chinese,de_DE,Dentist,24,Disha Patani,Mitacs Globalink,MS Dhoni,M,Married,Indraprastha School,Amity
100137,Hindi,cs_CZ,Mechanical Engineer,28,A.P.J Abdul Kalam,Mitacs Globalink,Vidyamandir Classes,F,single,DPS,Amity
100138,Spanish,en_UD,Neurologist,28,Terrible Tiny Tales,Narendra Modi,MS Dhoni,F,single,DPS,Amity
100139,German,cs_CZ,Business Man,33,MS Dhoni,Shopmania,Terrible Tiny Tales,M,Married,DPS,Delhi technological University
100140,English,es_ES,Dentist,31,Disha Patani,Vidyamandir Classes,Terrible Tiny Tales,M,Married,Neo Convent,Amity
100141,English,cy_GB,General Physician,20,A.P.J Abdul Kalam,Terrible Tiny Tales,Vidyamandir Classes,M,Married,Oxford School,Delhi technological University
100142,English,en_UD,Civil Engineer,30,A.P.J Abdul Kalam,Silicon Valley,Shopmania,M,Married,Mount Carmel,Delhi technological University
100143,Chinese,de_DE,Neurologist,36,Shopmania,Disha Patani,A.P.J Abdul Kalam,F,single,Indraprastha School,Maharaja Surajmal
100144,Portugese,ca_ES,Neurologist,36,A.P.J Abdul Kalam,Shopmania,MS Dhoni,F,single,Mount Carmel,Delhi technological University
100145,German,cs_CZ,Dentist,23,MS Dhoni,Narendra Modi,A.P.J Abdul Kalam,F,Married,Indraprastha School,MIT
100146,Hindi,ca_ES,Civil Engineer,36,Shopmania,MS Dhoni,A.P.J Abdul Kalam,M,single,Indraprastha School,MIT
100147,German,es_ES,Dentist,32,Silicon Valley,Shopmania,J.K Rowling,M,Married,Oxford School,CMU
100148,Spanish,da_DK,General Physician,27,Narendra Modi,Silicon Valley,Disha Patani,M,single,Neo Convent,Amity
100149,German,en_UD,General Physician,27,A.P.J Abdul Kalam,Shopmania,Vidyamandir Classes,M,single,Mount Carmel,Maharaja Surajmal
100150,Spanish,es_LA,Dentist,31,Shopmania,MS Dhoni,Disha Patani,M,single,DPS,CMU
100151,English,da_DK,Neurologist,23,Silicon Valley,J.K Rowling,Shopmania,F,Married,Neo Convent,Delhi technological University
100152,Hindi,ca_ES,Neurologist,39,Vidyamandir Classes,Silicon Valley,MS Dhoni,M,single,DPS,MIT
100153,English,cx_PH,General Physician,35,A.P.J Abdul Kalam,Shopmania,Narendra Modi,M,single,Oxford School,Amity
100154,Chinese,es_LA,Computer Engineer,21,Shopmania,MS Dhoni,Disha Patani,F,Married,Oxford School,Delhi technological University
100155,English,en_US,Civil Engineer,31,Terrible Tiny Tales,Vidyamandir Classes,A.P.J Abdul Kalam,M,Married,Indraprastha School,Delhi technological University
100156,Hindi,eu_ES,Computer Engineer,38,Shopmania,J.K Rowling,Terrible Tiny Tales,M,Married,Oxford School,Delhi technological University
100157,Hindi,eu_ES,Computer Engineer,37,Terrible Tiny Tales,Shopmania,Mitacs Globalink,M,single,Oxford School,Amity
100158,German,cy_GB,General Physician,37,MS Dhoni,Shopmania,Disha Patani,M,Married,Indraprastha School,Delhi technological University
100159,English,da_DK,Neurologist,34,MS Dhoni,Silicon Valley,A.P.J Abdul Kalam,F,Married,DPS,Maharaja Surajmal
100160,Chinese,cs_CZ,Teacher,27,J.K Rowling,Silicon Valley,A.P.J Abdul Kalam,F,Married,Neo Convent,Amity
100161,Portugese,es_LA,Civil Engineer,35,MS Dhoni,Silicon Valley,A.P.J Abdul Kalam,F,Married,Indraprastha School,CMU
100162,Spanish,es_ES,General Physician,28,J.K Rowling,Shopmania,Silicon Valley,M,Married,Oxford School,MIT
100163,Hindi,cy_GB,Business Man,32,Silicon Valley,Vidyamandir Classes,MS Dhoni,F,Married,DPS,Maharaja Surajmal
100164,English,en_UD,Neurologist,38,J.K Rowling,Vidyamandir Classes,Shopmania,F,single,Oxford School,Delhi technological University
100165,Spanish,es_LA,General Physician,32,MS Dhoni,A.P.J Abdul Kalam,Narendra Modi,M,single,Oxford School,Amity
100166,Hindi,gn_PY,Teacher,20,Narendra Modi,MS Dhoni,Mitacs Globalink,M,single,Mount Carmel,CMU
100167,Spanish,cx_PH,Business Man,26,J.K Rowling,Disha Patani,Terrible Tiny Tales,F,single,Oxford School,Delhi technological University
100168,Spanish,ca_ES,Mechanical Engineer,39,Narendra Modi,Mitacs Globalink,Disha Patani,F,single,DPS,MIT
100169,Hindi,da_DK,Dentist,27,A.P.J Abdul Kalam,Terrible Tiny Tales,Silicon Valley,M,Married,Indraprastha School,Delhi technological University
100170,Chinese,cy_GB,Neurologist,30,Shopmania,Disha Patani,J.K Rowling,F,single,Neo Convent,Maharaja Surajmal
100171,German,cy_GB,Computer Engineer,40,Shopmania,Vidyamandir Classes,MS Dhoni,F,single,DPS,Maharaja Surajmal
100172,English,de_DE,Dentist,25,MS Dhoni,Vidyamandir Classes,Mitacs Globalink,F,single,DPS,MIT
100173,Portugese,da_DK,Dentist,34,J.K Rowling,Silicon Valley,Disha Patani,M,single,Indraprastha School,MIT
100174,Chinese,en_US,Business Man,23,Shopmania,A.P.J Abdul Kalam,Silicon Valley,F,Married,Oxford School,Maharaja Surajmal
100175,Spanish,en_UD,Dentist,22,Narendra Modi,Vidyamandir Classes,A.P.J Abdul Kalam,M,Married,Neo Convent,CMU
100176,Portugese,da_DK,Mechanical Engineer,21,Terrible Tiny Tales,Narendra Modi,MS Dhoni,F,Married,Oxford School,MIT
100177,English,de_DE,Computer Engineer,26,Silicon Valley,MS Dhoni,Disha Patani,F,single,Neo Convent,Delhi technological University
100178,Hindi,da_DK,Civil Engineer,33,Narendra Modi,Silicon Valley,Terrible Tiny Tales,F,Married,DPS,Maharaja Surajmal
100179,Hindi,cy_GB,Teacher,30,Silicon Valley,Vidyamandir Classes,Mitacs Globalink,M,single,Indraprastha School,MIT
100180,Spanish,gn_PY,Civil Engineer,38,Mitacs Globalink,Silicon Valley,A.P.J Abdul Kalam,F,Married,Indraprastha School,Maharaja Surajmal
100181,German,cy_GB,Dentist,24,Narendra Modi,A.P.J Abdul Kalam,MS Dhoni,M,single,Oxford School,Maharaja Surajmal
100182,Spanish,de_DE,Civil Engineer,34,Narendra Modi,Silicon Valley,Vidyamandir Classes,F,Married,Neo Convent,Maharaja Surajmal
100183,English,en_US,Mechanical Engineer,31,Mitacs Globalink,J.K Rowling,MS Dhoni,M,Married,Indraprastha School,Amity
100184,English,cy_GB,Civil Engineer,27,Silicon Valley,MS Dhoni,Shopmania,M,Married,Neo Convent,Amity
100185,Portugese,cy_GB,Computer Engineer,27,Shopmania,J.K Rowling,MS Dhoni,F,single,Neo Convent,Maharaja Surajmal
100186,Hindi,en_US,Mechanical Engineer,37,Mitacs Globalink,J.K Rowling,Silicon Valley,M,Married,Oxford School,Delhi technological University
100187,Portugese,cs_CZ,Mechanical Engineer,24,Silicon Valley,Vidyamandir Classes,Shopmania,F,Married,Oxford School,Amity
100188,Chinese,da_DK,Neurologist,20,Terrible Tiny Tales,Vidyamandir Classes,A.P.J Abdul Kalam,M,Married,Oxford School,Delhi technological University
100189,Hindi,cx_PH,Computer Engineer,20,Mitacs Globalink,Silicon Valley,Narendra Modi,M,Married,DPS,Maharaja Surajmal
100190,English,es_LA,Computer Engineer,23,Vidyamandir Classes,J.K Rowling,Disha Patani,M,single,Oxford School,Maharaja Surajmal
100191,English,cx_PH,Civil Engineer,23,Terrible Tiny Tales,Mitacs Globalink,Vidyamandir Classes,M,Married,Indraprastha School,Amity
100192,Chinese,cy_GB,Mechanical Engineer,29,Vidyamandir Classes,MS Dhoni,Mitacs Globalink,M,single,DPS,Maharaja Surajmal
100193,German,da_DK,Teacher,29,Terrible Tiny Tales,A.P.J Abdul Kalam,Mitacs Globalink,F,Married,Oxford School,MIT
100194,Chinese,eu_ES,General Physician,35,Silicon Valley,Shopmania,Terrible Tiny Tales,F,Married,Mount Carmel,Maharaja Surajmal
100195,German,cy_GB,Business Man,31,Vidyamandir Classes,Terrible Tiny Tales,Narendra Modi,M,single,Neo Convent,CMU
100196,German,es_LA,General Physician,27,Narendra Modi,Mitacs Globalink,A.P.J Abdul Kalam,M,Married,DPS,Delhi technological University
100197,Hindi,gn_PY,Teacher,30,J.K Rowling,Narendra Modi,A.P.J Abdul Kalam,F,single,Indraprastha School,CMU
100198,Spanish,cy_GB,General Physician,37,J.K Rowling,MS Dhoni,A.P.J Abdul Kalam,F,Married,Neo Convent,CMU
100199,Chinese,cx_PH,Business Man,31,Silicon Valley,Disha Patani,A.P.J Abdul Kalam,F,single,Mount Carmel,Maharaja Surajmal
100200,German,es_ES,Mechanical Engineer,31,Narendra Modi,Vidyamandir Classes,Shopmania,F,single,Mount Carmel,Delhi technological University
100201,Hindi,cx_PH,Neurologist,34,Mitacs Globalink,Silicon Valley,Shopmania,M,single,Mount Carmel,CMU
100202,English,da_DK,Computer Engineer,32,A.P.J Abdul Kalam,MS Dhoni,Shopmania,M,Married,Mount Carmel,Delhi technological University
100203,English,en_US,Dentist,37,Narendra Modi,Silicon Valley,Mitacs Globalink,M,single,Neo Convent,Maharaja Surajmal
100204,Chinese,cy_GB,Computer Engineer,24,Shopmania,MS Dhoni,Disha Patani,F,single,Mount Carmel,Maharaja Surajmal
100205,Hindi,cy_GB,Teacher,25,Shopmania,J.K Rowling,Silicon Valley,M,Married,Neo Convent,Delhi technological University
100206,Chinese,gn_PY,Business Man,29,Mitacs Globalink,Silicon Valley,Terrible Tiny Tales,M,single,Mount Carmel,CMU
100207,German,cy_GB,Business Man,21,Narendra Modi,Disha Patani,Terrible Tiny Tales,F,single,Oxford School,Amity
